Index,Manufacturer Part Number,Manufacturer Name,Description,Attrition %,Requested Quantity 1,Pack Quantity 1,Pack Type 1,Digi-Key Part Number 1,Unit Price 1,Extended Price 1,Minimum Order Quantity 1,Customer Reference,Requested Part Number,Reference Designator
1,LT3751EFE#TRPBF,Analog Devices Inc.,IC CTRLR CAP CHARGER 20-TSSOP,,2,2,Cut Tape (CT),LT3751EFE#TRPBFCT-ND,9.31000,$18.62,1,"U1, U2",LT3751EFE#TRPBFCT-ND,"U1, U2"
2,,,,,3,,,,,,,TR1-TR3,GA3460-BL,TR1-TR3
3,NDSH25170A,onsemi,SIC JBS 1700V 25A TO247,,2,2,Tube,NDSH25170A-ND,20.03000,$40.06,1,"D1, D2",NDSH25170A-ND,"D1, D2"
4,C4532X7R3D222K130KA,TDK Corporation,CAP CER 2200PF 2KV X7R 1812,,1,1,Cut Tape (CT),445-2389-1-ND,0.68000,$0.68,1,C34,445-2389-1-ND,C34
5,RT0603BRE0780K6L,YAGEO,RES SMD 80.6KOHM 0.1% 1/10W 0603,,2,2,Cut Tape (CT),YAG4780CT-ND,0.38000,$0.76,1,"R23, R24",YAG4780CT-ND,"R23, R24"
6,ERA-3AEB3652V,Panasonic Electronic Components,RES SMD 36.5KOHM 0.1% 1/10W 0603,,2,2,Cut Tape (CT),P36.5KDBCT-ND,0.31000,$0.62,1,"R12, R13",P36.5KDBCT-ND,R12-R14
7,CRE2512-FZ-R004E-3,Bourns Inc.,RES 0.004 OHM 1% 3W 2512,,6,6,Cut Tape (CT),CRE2512-FZ-R004E-3CT-ND,0.77000,$4.62,1,R28-R33,CRE2512-FZ-R004E-3CT-ND,R28-R33
8,ERA-3AEB104V,Panasonic Electronic Components,RES SMD 100K OHM 0.1% 1/10W 0603,,4,4,Cut Tape (CT),P100KDBCT-ND,0.32000,$1.28,1,R1-R4,P100KDBCT-ND,R1-R4
9,ERA-6AEB4533V,Panasonic Electronic Components,RES 453K OHM 0.1% 1/8W 0805,,4,4,Cut Tape (CT),P453KDACT-ND,0.31000,$1.24,1,R19-R22,P453KDACT-ND,R19-R22
10,RG2012P-1693-B-T5,Susumu,RES SMD 169K OHM 0.1% 1/8W 0805,,2,2,Cut Tape (CT),RG20P169KBCT-ND,0.50000,$1.00,1,"R17, R18",RG20P169KBCT-ND,"R17, R18"
11,ERJ-6ENF1304V,Panasonic Electronic Components,RES SMD 1.3M OHM 1% 1/8W 0805,,2,2,Cut Tape (CT),P1.30MCCT-ND,0.10000,$0.20,1,"R15, R16",P1.30MCCT-ND,"R15, R16"
12,ERJ-8ENF2004V,Panasonic Electronic Components,RES SMD 2M OHM 1% 1/4W 1206,,3,3,Cut Tape (CT),P2.00MFCT-ND,0.10000,$0.30,1,R6-R8,P2.00MFCT-ND,R6-R8
13,ERJ-8ENF4871V,Panasonic Electronic Components,RES SMD 4.87K OHM 1% 1/4W 1206,,2,2,Cut Tape (CT),P4.87KFCT-ND,0.10000,$0.20,1,"R9, R10",P4.87KFCT-ND,"R9, R10"
14,GRM1885C1H103JA01D,Murata Electronics,CAP CER 10000PF 50V C0G/NP0 0603,,2,2,Cut Tape (CT),490-9666-1-ND,0.20000,$0.40,1,"C35, C36",490-9666-1-ND,C35-C37
15,EEU-FR1H101B,Panasonic Electronic Components,CAP ALUM 100UF 20% 50V RADIAL,,4,4,Cut Tape (CT),P15369CT-ND,0.55000,$2.20,1,C19-C22,P15369CT-ND,C19-C22
16,GRT31CR61H106KE01L,Murata Electronics,CAP CER 10UF 50V X5R 1206,,6,6,Cut Tape (CT),490-12456-1-ND,0.69000,$4.14,1,C26-C31,490-12456-1-ND,C26-C31
17,GRM32EC72A106KE05L,Murata Electronics,CAP CER 10UF 100V X7S 1210,,5,5,Cut Tape (CT),490-16266-1-ND,1.38000,$6.90,1,C9-C13,490-16266-1-ND,C9-C13
18,UPW2A102MHD,Nichicon,CAP ALUM 1000UF 20% 100V RADIAL,,4,4,Bulk,493-1988-ND,3.39000,$13.56,1,C1-C4,493-1988-ND,C1-C4
19,IXFK180N25T,IXYS,MOSFET N-CH 250V 180A TO264AA,,2,2,Tube,IXFK180N25T-ND,17.94000,$35.88,1,"Q1, Q2",IXFK180N25T-ND,"Q1, Q2"
20,NLV14504BDG,onsemi,IC TRNSLTR UNIDIRECTIONAL 16SOIC,,2,2,Tube,NLV14504BDGOS-ND,1.89000,$3.78,1,"U5, U6",NLV14504BDGOS-ND,"U5, U6"
21,ZXGD3004E6TA,Diodes Incorporated,IC GATE DRVR LOW-SIDE SOT23-6,,1,1,Cut Tape (CT),ZXGD3004E6CT-ND,0.80000,$0.80,1,U4,ZXGD3004E6CT-ND,U4
22,B32774D1505K000,EPCOS - TDK Electronics,CAP FILM 5UF 10% 1.3KVDC RADIAL,,1,1,Bulk,495-3930-ND,6.00000,$6.00,1,C18,495-3930-ND,C18
23,LM7805MP/NOPB,Texas Instruments,IC REG LINEAR 5V 1.5A SOT223-4,,1,1,Cut Tape (CT),296-44517-1-ND,1.54000,$1.54,1,U7,296-44517-1-ND,U7
24,GRM31A5C2J151JW01D,Murata Electronics,CAP CER 150PF 630V C0G/NP0 1206,,2,2,Cut Tape (CT),490-5274-1-ND,0.48000,$0.96,1,"C14, C15",490-5274-1-ND,"C14, C15"
